,SMALL LoVAR,ME1 VAR2,ME1 VAR3,ME1 VAR4,SMALL HiVAR,ME2 VAR1,ME2 VAR2,ME2 VAR3,ME2 VAR4,ME2 VAR5,ME3 VAR1,ME3 VAR2,ME3 VAR3,ME3 VAR4,ME3 VAR5,ME4 VAR1,ME4 VAR2,ME4 VAR3,ME4 VAR4,ME4 VAR5,BIG LoVAR,ME5 VAR2,ME5 VAR3,ME5 VAR4,BIG HiVAR
201205,1.4104,2.8306,4.8063,8.2499,27.2674,0.8523,1.6865,2.6135,4.3474,10.909,0.5773,1.1365,1.7855,2.8359,11.91,0.4697,0.8764,1.4428,2.4496,6.9156,0.3644,0.6127,0.9178,1.4566,3.3553
201206,1.5214,3.1115,5.2668,9.0559,30.0432,0.867,1.8209,2.858,4.6389,13.1201,0.5545,1.0771,1.9122,3.0526,11.5414,0.4897,0.9495,1.4497,2.3913,7.3421,0.3317,0.5777,0.9666,1.4512,3.4532
201207,1.6892,3.5345,5.8474,9.6673,30.3025,0.977,2.0327,3.1516,5.24,13.6993,0.5893,1.2709,2.1138,3.3723,13.4617,0.5039,0.9563,1.6021,2.7778,7.1972,0.3815,0.6438,1.0233,1.6898,4.004
201208,1.821,3.5638,5.8681,9.81,33.6141,1.0102,2.0787,3.2103,5.8991,15.0817,0.6685,1.3905,2.1281,3.8041,13.1468,0.5679,1.0341,1.6885,2.9065,7.9321,0.3907,0.69,1.1023,1.7009,4.4304
201209,1.7147,3.447,5.5966,9.7364,32.187,0.9559,2.1581,3.4886,6.0038,16.2744,0.7078,1.4502,2.2406,4.0816,13.0896,0.5227,1.0121,1.672,2.8651,7.7553,0.3652,0.6704,1.0206,1.5053,3.5123
201210,1.5812,3.2528,5.162,8.6747,29.843,0.944,2.0256,3.4092,5.876,16.341,0.7134,1.426,2.1603,3.9463,12.5172,0.5369,1.001,1.5431,2.6112,7.4897,0.3647,0.6522,0.983,1.5431,3.4606
201211,1.3736,2.83,4.6149,7.7458,24.2077,0.8623,1.8815,2.9897,5.1209,19.0882,0.6277,1.1744,1.8644,3.191,10.9242,0.4746,0.9458,1.5617,2.5769,6.9671,0.3326,0.5796,0.9216,1.3939,2.8124
201212,1.5537,3.0859,5.1094,8.1354,30.6349,0.9551,1.9894,3.1836,5.438,16.9563,0.6625,1.3026,2.0437,3.4212,11.5647,0.5717,1.049,1.6307,2.637,7.653,0.3742,0.6724,0.9816,1.5022,3.0782
201301,1.4755,2.9739,4.7305,8.1593,29.8602,0.9689,1.9022,3.2035,5.3075,16.9723,0.6387,1.1622,1.8952,3.2232,12.0223,0.4699,0.8731,1.4049,2.3219,7.6501,0.344,0.6306,0.9166,1.4175,3.3904
201302,1.3744,2.7176,4.4872,7.3471,25.8164,0.7742,1.5534,2.6361,4.4393,12.6539,0.5813,0.9909,1.4986,2.4109,8.0026,0.4745,0.8152,1.1633,1.9057,5.9687,0.3259,0.5923,0.8095,1.2597,3.9463
